car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train,Battery capacity in kW,Number of electric motors,Range
Tesla,Model X ,2017,55000.0,"Armenia, Yerevan",123078.40000000001,Sedan,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3024120,2.5,525,4,AWD 4x4,90.0,2.0,512.0
Audi,e-tron ,2019,55000.0,"Armenia, Yerevan",29000.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3028438,2.0,409,4,AWD 4x4,300.0,2.0,350.0
Tesla,Model Y ,2023,54000.0,"Armenia, Yerevan",2500.0,Sedan,Electric,Automatic,Left,Black,New,https://auto.am/offer/2990293,2.5,388,4,AWD 4x4,75.0,2.0,616.0
Mercedes-Benz,EQC ,2021,54000.0,Armenia,60000.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2827567,4.0,408,6,AWD 4x4,80.0,4.0,479.0
Volkswagen,iD.6 ,2023,53700.0,Armenia,10.0,SUV / Truck,Electric,Automatic,Left,Blue,Excellent,https://auto.am/offer/2868059,2.5,204,4,RWD,86.0,1.0,610.0
Tesla,Model Y ,2022,53000.0,"Armenia, Yerevan",7000.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/2963802,2.5,465,4,AWD 4x4,80.0,2.0,500.0
Tesla,Model X ,2018,53000.0,Armenia,120000.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2913397,2.5,304,4,AWD 4x4,100.0,4.0,375.0
Ford,Mustang ,2022,52900.0,Armenia,8700.0,SUV / Truck,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3016559,1.5,385,3,AWD 4x4,70.0,2.0,500.0
Jaguar,I-Pace ,2018,52000.0,"Armenia, Yerevan",33500.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3036586,3.0,300,6,AWD 4x4,90.0,2.0,480.0
Tesla,Model Y ,2022,51000.0,"Armenia, Yerevan",14000.0,SUV / Truck,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3031840,2.5,455,4,AWD 4x4,78.0,2.0,475.0
Tesla,Model Y ,2023,51000.0,"Armenia, Yerevan",1300.0,SUV / Truck,Electric,Automatic,Left,Gray,New,https://auto.am/offer/3035545,2.5,425,4,AWD 4x4,82.0,2.0,550.0
BMW,i3 ,2022,46000.0,Armenia,150.0,Sedan,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2845977,2.0,387,4,AWD 4x4,125.0,4.0,612.0
Volkswagen,iD.6 ,2022,50000.0,"Armenia, Yerevan",53.0,SUV / Truck,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/2819323,2.5,204,4,RWD,84.0,1.0,550.0
Leapmotor,T03 ,2023,14475.0,"Armenia, Kotayk",5700.0,Sedan,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3018207,2.5,200,4,AWD 4x4,41.0,2.0,300.0
BMW,i3 ,2015,5600.0,"Armenia, Yerevan",112000.0,Hatchback,Electric,Automatic,Left,Black,Damaged,https://auto.am/offer/3023032,2.8,306,6,RWD,19.0,2.0,120.0
