car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train
Mercedes-Benz,E 350 ,2007,9900.0,"Armenia, Yerevan",113000.0,Sedan,Gas,Automatic,Left,Gray,Excellent,https://auto.am/offer/3036142,3.5,272,6,RWD
Nissan,Sentra ,2018,9900.0,"Armenia, Yerevan",139200.0,Sedan,Gasoline,CVT Variable,Left,Black,Average,https://auto.am/offer/3005247,1.8,129,4,FWD
Chevrolet,Volt ,2014,9900.0,"Armenia, Kotayk",180000.0,Hatchback,Hybrid,Automatic,Left,Black,Excellent,https://auto.am/offer/3038775,1.4,149,4,FWD
Ford,Fusion ,2017,9900.0,"Armenia, Armavir",176000.0,Sedan,Gasoline,Automatic,Left,Silver,Good,https://auto.am/offer/3034436,2.5,175,4,FWD
Audi,A5 ,2011,9900.0,"Armenia, Yerevan",140000.0,Coupe,Gasoline,Automatic,Left,Silver,sell.condition-values.,https://auto.am/offer/3040376,2.0,211,4,AWD 4x4
Toyota,Alphard ,2003,9900.0,"Armenia, Aragatsotn",240000.0,Minivan / Minibus,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3026502,2.4,160,4,AWD 4x4
Volkswagen,Polo ,2019,9900.0,"Armenia, Yerevan",118000.0,Sedan,Gasoline,Manual,Left,White,Excellent,https://auto.am/offer/3036798,1.4,184,4,AWD 4x4
Geely,Coolray ,2023,24500.0,"Armenia, Yerevan",20.0,SUV / Truck,Gasoline,Automatic,Left,White,sell.condition-values.,https://auto.am/offer/3035839,1.5,150,3,FWD
Honda,Odyssey ,2006,9800.0,"Armenia, Yerevan",156000.0,Minivan / Minibus,Gas,Automatic,Left,Silver,Excellent,https://auto.am/offer/3027610,2.0,200,4,AWD 4x4
BMW,528,2010,9800.0,"Armenia, Yerevan",256000.0,Sedan,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/2981090,2.0,230,2,RWD
Volkswagen,Caddy ,2008,9800.0,"Armenia, Yerevan",195000.0,Wagon,Gasoline and gas,Manual,Left,Red,Excellent,https://auto.am/offer/3040790,3.6,109,4,FWD
